Sl No,product_name,product_imageSRC,product_price_in_inr,product_rating,product_total_ratings,product_total_reviews,product_discount,processor,ram,os,storage,display
69,HP Omen AMD Ryzen 9 16 Core 8940HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/z/k/16-ap0181ax-gaming-laptop-hp-original-imahf8gfdk3gmxw4.jpeg?q=70,174237.0,5.0,19735,2048,29,AMD Ryzen 9 16 Core Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,40.64 cm (16 Inch) Display
70,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/n/w/-enriched-transparent-original-imahg5fur7csf5kn.png?q=70,44990.0,4.2,7,1,12,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
71,DELL Inspiron 3530 (2026) Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 35...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/m/v/-original-imah8pshmdu2fezx.jpeg?q=70,64990.0,4.3,19735,2048,29,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
72,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/l/i/-original-imahex3u7rhsva6n.jpeg?q=70,64148.0,4.1,10,3,6,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
73,Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/m/f/-enriched-transparent-original-imahg5fyfn2bnnmr.png?q=70,55190.0,4.2,19735,2048,29,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
74,"ASUS Vivobook S14 (2026) with Metallic Design, Gaming Grade CPU AMD Ryzen 5 220 - (16 GB/512 GB SSD/Wi...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/p/d/-original-imahzgnhdbwskypg.jpeg?q=70,74990.0,4.5,86,9,39,AMD Ryzen 5 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display
75,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/l/k/-enriched-transparent-original-imahg52kkdm6ebrx.png?q=70,55243.0,4.3,35,11,33,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
76,Samsung Galaxy Book6 Pro Intel Core Ultra 7 Series 3 356H - (32 GB/1 TB SSD/Windows 11 Home) NP940XJG ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/c/u/-original-imahhvjr6ugnzx8f.jpeg?q=70,204990.0,4.9,10664,1222,9,Intel Core Ultra 7 Processor (Series 3),32 GB LPDDR5X RAM,64 bit Windows 11 Home Operating System,1 TB SSD,35.56 cm (14 inch) Touchscreen Display
77,ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic(i3 14th Gen) Intel Core 3 14th Gen 100U - (16 GB...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/y/v/-original-imahmbf8uqwbu72p.jpeg?q=70,63990.0,4.4,14,3,4,Intel Core 3 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
78,Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/r/c/-enriched-transparent-original-imahg53x5n2zk5gq.png?q=70,58990.0,4.0,1428,191,52,Intel Core i9 Processor (13th Gen),32 GB LPDDR5X RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
79,HP Omnibook 3 2K WUXGA Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Omnibook 3 14-hz0024QU Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/e/9/-original-imahzvfcsqpynrcd.jpeg?q=70,72990.0,3.9,4,1,33,Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display
80,HP 15 with Backlit Keyboard & Office 2024 AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 H...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/j/s/-original-imahk7hhynx2zpdh.jpeg?q=70,67785.0,4.2,7,1,12,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
81,HP Pavilion AMD Ryzen 7 Quad Core 3750H - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics/NVID...,https://rukminim2.flixcart.com/image/312/312/k66sh3k0/computer/d/e/t/hp-na-gaming-laptop-original-imafmcwzbga7kqaj.jpeg?q=70,77365.0,4.3,425,25,3,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 Inch) Display
82,Lenovo Legion 5 WQXGA OLED Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/g/q/-original-imahn89mnr62zfaj.jpeg?q=70,243490.0,3.9,86,9,39,Intel Core Ultra 9 Processor,32 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,38.35 cm (15.1 inch) Display
83,HP (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1095TU Thin and Light Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/o/d/-original-imahg5ftpnyzgk7y.jpeg?q=70,51999.0,4.5,19735,2048,29,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
84,HP Intel Core Ultra 5 14th Gen - (16 GB/1 TB SSD/Windows 11 Home) 15-fd1354TU Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/s/a/15-fd1354tu-laptop-hp-original-imahjcdkwadhpvkt.jpeg?q=70,79700.0,3.2,86,9,39,Intel Core Ultra 5 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
85,"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*, AI PC(i5 14th gen) Intel Core 5 210...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/b/z/-original-imahgfdfjmgm2wn7.jpeg?q=70,89990.0,4.2,4641,371,10,Intel Core 5 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 Inch) Display
86,Acer Aspire Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/l/o/aspire-lite-thin-and-light-laptop-acer-original-imahjxjrnangrwef.jpeg?q=70,62999.0,4.3,19735,2048,29,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
87,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/j/v/-original-imahg5fthvn4n9yh.jpeg?q=70,54699.0,4.4,7,1,12,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
88,DELL Inspiron 5370 Intel Core i7 8th Gen 8550U - (8 GB/256 GB SSD/Windows 11 Home/4 GB Graphics/AMD Ra...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/i/l/inspiron-5000-gaming-laptop-dell-original-imah3zuzm4hnetuh.jpeg?q=70,93451.0,4.5,10664,1222,9,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,33.78 cm (13.3 Inch) Display
89,HP Victus Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/x/y/-original-imahg5fx8qebxzfz.jpeg?q=70,101705.0,4.4,19735,2048,29,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
90,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/2/m/-original-imahg4usxgumz4wx.jpeg?q=70,78990.0,4.4,86,9,39,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
91,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Ho...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/h/g/-original-imahg5fuxuw5afvh.jpeg?q=70,59699.0,4.3,758,48,5,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
92,Samsung Galaxy Book3 Pro 360 EVO AMOLED Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Ho...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/b/c/-original-imahg5fubyjzcqag.jpeg?q=70,172214.0,4.0,10664,1222,9,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Touchscreen Display
93,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 1362...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/l/f/-original-imahg4usxz7e9b4x.jpeg?q=70,81902.0,4.5,86,9,39,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
94,Samsung Galaxy Book6 Intel Core Ultra 7 Series 3 355 - (16 GB/512 GB SSD/Windows 11 Home) NP760VJG Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/e/o/-original-imahhvjrydupk3w7.jpeg?q=70,127990.0,3.8,10664,1222,9,Intel Core Ultra 7 Processor (Series 3),16 GB LPDDR5X RAM,64 bit Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 inch) Display
95,ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/g/v/-original-imahfjey7t2fsnrb.jpeg?q=70,85880.0,4.3,86,9,39,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
96,WarnerCann Hi5 pro Plus Intel Core i5 12th Gen 12600H - (16 GB + 32 GB Optane/256 GB SSD/Windows 11 Pr...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/z/v/n95-business-laptop-business-laptop-warnercann-original-imahmpht54yk5ygp.jpeg?q=70,36092.0,3.5,10664,1222,9,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
97,ASUS TUF Gaming A15 (2026) AMD Ryzen 7 Octa Core 170 - (32 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/N...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/n/g/-original-imahfczuvfj7j6vb.jpeg?q=70,99990.0,4.5,19,1,5,AMD Ryzen 7 Octa Core Processor,32 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,39.62 cm (15.6 inch) Display
98,"ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/j/w/-original-imahg5ftsnd6gag4.jpeg?q=70,120000.0,4.4,112,11,11,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
99,DELL Vostro 3520 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3520 Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/h/8/vostro-3520-thin-and-light-laptop-dell-original-imah8zwby3ywckju.jpeg?q=70,66990.0,4.3,19735,2048,29,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
100,MSI GF63 Thin Intel Core i5 10th Gen 11400H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,https://rukminim2.flixcart.com/image/312/312/ktlu9ow0/computer/4/n/m/gf63-thin-10uc-607in-gaming-laptop-msi-original-imag6xfuxzmukmuq.jpeg?q=70,76990.0,4.5,7,1,12,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
101,ASUS ExpertBook P1 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71042W...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/g/3/-enriched-transparent-original-imahg53uzzmsyywa.png?q=70,77584.0,4.3,86,9,39,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
102,HP FQ Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-FQ5326TU Thin and Li...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/t/m/15s-fq5326tu-laptop-hp-original-imah27v6nwg7umkg.jpeg?q=70,48981.0,4.3,138,20,25,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
103,Acer Aspire 3 Backlit Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/y/f/a324-51-thin-and-light-laptop-acer-original-imah4fuyeryez9yq.jpeg?q=70,51992.0,3.8,11,2,39,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
104,"ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/j/w/-original-imahg5ftsnd6gag4.jpeg?q=70,120000.0,4.4,86,9,9,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
105,Lenovo Intel Core i7 8th Gen 8665U - (16 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) Thinkpad P43s Thi...,https://rukminim2.flixcart.com/image/312/312/kynb6vk0/computer/s/7/y/thinkpad-p43s-thin-and-light-laptop-lenovo-original-imagau8rwey9zabh.jpeg?q=70,244801.0,4.5,86,9,39,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
106,Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/8/w/-enriched-transparent-original-imahg4uv8htxfdpx.png?q=70,99990.0,4.4,1030,59,4,Intel Core i5 Processor (12th Gen),16 GB LPDDR5X RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display
107,Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 15IRU8 Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/t/u/-original-imahg4utrbszghfz.jpeg?q=70,58556.0,4.1,19735,2048,29,Intel Core i3 Processor (13th Gen),8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
108,DELL Inspiron 3530 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/w/o/inspiron-3530-thin-and-light-laptop-dell-original-imahashyrfwbrehc.jpeg?q=70,92990.0,4.3,86,9,39,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
109,MICROSOFT Surface Pro 13 Inch Snapdragon X2 Elite - (24 GB/512 GB SSD/Windows 11 Home) EP2-65386 2 in ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/3/c/-original-imahpbuhwzdjewht.jpeg?q=70,259990.0,4.2,103,6,5,Snapdragon X2 Elite Processor,24 GB LPDDR5X RAM,64 bit Windows 11 Operating System,512 GB SSD,33.02 cm (13 inch) Touchscreen Display
110,ASUS ExpertBook P3 Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3606CCA-MB0326WS Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/i/-original-imahzbemaa3edhez.jpeg?q=70,99990.0,3.3,86,9,39,Intel Core Ultra 7 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 inch) Display
111,Lenovo Ideapad 720S Intel Core i5 8th Gen 8250U - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin an...,https://rukminim2.flixcart.com/image/312/312/jmkwya80/computer/g/a/5/lenovo-na-thin-and-light-laptop-original-imaf9gh6stqkvph3.jpeg?q=70,83458.0,4.2,640,46,6,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 Inch) Display
112,HP Victus (i5 14th Gen) Intel Core 5 210 H - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/q/-original-imahzphn5mxtkdsm.jpeg?q=70,108990.0,4.3,320,29,37,Intel Core 5 Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
113,Lenovo IdeaPad 3 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Lig...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/7/p/-original-imahg5fwfucehynu.jpeg?q=70,54890.0,4.4,2266,176,2,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
114,Samsung Galaxy Book6 Pro Intel Core Ultra 7 Series 3 356H - (32 GB/1 TB SSD/Windows 11 Home) NP960XJG ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/x/k/-original-imahhvjr6pm3zv5n.jpeg?q=70,219990.0,2.8,7,1,12,Intel Core Ultra 7 Processor (Series 3),32 GB LPDDR5X RAM,64 bit Windows 11 Home Operating System,1 TB SSD,40.64 cm (16 inch) Touchscreen Display
115,HP 15S Intel Core i3 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU Thin and Light La...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/m/t/15-fd0574tu-fd0668tu-thin-and-light-laptop-hp-original-imahhzs6hx3qcdpn.jpeg?q=70,54900.0,4.0,86,9,39,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
116,Lenovo IdeaPad Slim 5 WUXGA IPS AI PC with 1Yr ADP Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/r/g/-enriched-transparent-original-imahg5ftak8h4cvd.png?q=70,106990.0,3.9,832,127,36,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
117,MSI Modern 15 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) Modern 15 B12MO-1050IN B...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/z/q/modern-15-b7m-071in-thin-and-light-laptop-msi-original-imagqxy5usdrtzye.jpeg?q=70,64990.0,4.2,799,76,2,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,38.1 cm (15 Inch) Display
118,HP Victus (i5 14th Gen) Intel Core 5 210 H - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/q/-original-imahzphn5mxtkdsm.jpeg?q=70,108990.0,4.5,832,127,9,Intel Core 5 Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
119,Infinix Y3 Max Series Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/e/m/-original-imahg5fx66ddhgtz.jpeg?q=70,84990.0,4.1,92,2,2,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display
120,ASUS VivoBook Ultra AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) KM413UA-EB502TS Th...,https://rukminim2.flixcart.com/image/312/312/kmgn0cw0/computer/p/q/o/na-thin-and-light-laptop-asus-original-imagfcpagxqqe6zs.jpeg?q=70,73990.0,4.5,77,9,1,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
121,HP Victus (i5 14th Gen) Intel Core 5 210 H - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/q/-original-imahzphn5mxtkdsm.jpeg?q=70,108990.0,4.5,518,38,28,Intel Core 5 Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
122,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/r/h/-original-imahg5fxw2zzgw2r.jpeg?q=70,111915.0,4.4,1457,86,7,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.89 cm (16.1 Inch) Display
123,Lenovo Legion Pro 5 WQXGA OLED Intel Core Ultra 7 255HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphic...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/o/k/-original-imahm5gzsk8fpfzk.jpeg?q=70,228490.0,4.2,3441,331,35,Intel Core Ultra 7 Processor,32 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,40.64 cm (16 inch) Display
124,Acer Aspire One Intel Celeron Dual Core N4500 - (12 GB/500 GB SSD/Windows 11 Home) A114-45 Thin and Li...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/4/k/a114-45-thin-and-light-laptop-acer-original-imahn6yzpz9rwypm.jpeg?q=70,41990.0,4.3,79,3,21,Intel Celeron Dual Core Processor,12 GB LPDDR4X RAM,64 bit Windows 11 Operating System,500 GB SSD,35.56 cm (14 Inch) Display
125,HP AMD Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) 15S-EQ2305AU Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/h/e/eq2305au-laptop-hp-original-imahkf5mnhcbb4by.jpeg?q=70,59950.0,4.2,7,1,12,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
126,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/p/8/-original-imahcd9rm4ykcpag.jpeg?q=70,59990.0,4.2,86,9,39,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
127,HP 255 R G10 AMD Ryzen 5 Hexa Core 7535U - (8 GB/512 GB SSD/Windows 11 Home) 255 R G10 Business Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/k/7/-original-imahjpdbr5dhjbvk.jpeg?q=70,55990.0,3.7,7,1,12,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
128,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/m/l/-original-imahex3tuczxbffm.jpeg?q=70,49613.0,4.0,86,9,39,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 Inch) Display
129,MSI Raider 18 HX Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDI...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/k/o/-original-imahg4utyucykfdt.jpeg?q=70,379990.0,4.4,799,76,36,Intel Core i9 Processor (14th Gen),32 GB DDR5 RAM,Windows 11 Operating System,2 TB SSD,45.72 cm (18 Inch) Display
130,Apple MacBook Air M4 - (16 GB/256 GB SSD/macOS Sequoia) MW0Y3HN/A,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/o/f/-original-imahayjprdnrga3v.jpeg?q=70,97900.0,4.7,7,1,12,Apple M4 Processor,16 GB Unified Memory RAM,Mac OS Operating System,256 GB SSD,34.54 cm (13.6 Inch) Display
