Sl No,product_name,product_imageSRC,product_price_in_inr,product_rating,product_total_ratings,product_total_reviews,product_discount,processor,ram,os,storage,display
21,DELL 15 (Previously Inspiron) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) DC1525...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/e/-original-imahzv9hvn3wejvk.jpeg?q=70,62990.0,4.3,19735,2048,29,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.1 cm (15 Inch) Display
22,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,7,1,12,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
23,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 2...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/1/4/-original-imahehkgrwfhkjtq.jpeg?q=70,78990.0,4.5,34,2,7,Intel Core Ultra 5 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
24,Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/c/z/-enriched-transparent-original-imahg5fusry5atvm.png?q=70,55990.0,4.2,391,33,6,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
25,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-enriched-transparent-original-imahg53xmzmtsynn.png?q=70,51990.0,4.4,6599,623,26,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
26,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,19735,2048,29,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
27,DELL 15 (Previously Inspiron) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) DC1525...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/e/-original-imahzv9hvn3wejvk.jpeg?q=70,62990.0,4.3,7,1,12,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.1 cm (15 Inch) Display
28,DELL Alienware 16 Aurora (i7 14th Gen) Microsoft Office Home 2024 Intel Core 7 240H - (16 GB/1 TB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/d/v/-original-imahzye35hmhz2bs.jpeg?q=70,145990.0,4.1,688,81,29,Intel Core 7 Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
29,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Snapdragon X - (16 G...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/y/-original-imahgfdfj7hkyhr6.jpeg?q=70,65990.0,4.5,19,3,5,Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
30,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/n/3/cx1500cka-ej0275-chromebook-asus-enriched-transparent-original-imah2mw8nykenzdx.png?q=70,17990.0,3.8,29,2,41,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,64 bit Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
31,Acer Swift Neo Office 2024 + M365 Basic Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) S...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/l/a/-original-imahgx8wtvrqhczr.jpeg?q=70,65990.0,4.1,19735,2048,29,Intel Core Ultra 7 Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
32,Samsung Galaxy Book4 (i5 14th Gen) Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGK Thin...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/o/c/-original-imahzcak8zz8qxrs.jpeg?q=70,86239.0,4.4,142,13,4,Intel Core 5 Processor,8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
33,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,313,37,32,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
34,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-enriched-transparent-original-imahg53xmzmtsynn.png?q=70,51990.0,4.4,322,26,9,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
35,Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/p/-original-imah3yhqcgjtxfhw.jpeg?q=70,42990.0,3.8,35,11,33,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
36,HP Intel Core i3 - (8 GB/512 GB SSD/Windows 11 Home) 14-ep0343TU Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/8/f/-original-imahgubfeysbr6gy.jpeg?q=70,49490.0,4.4,19735,2048,29,Intel Core i3 Processor,8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
37,MSI Katana 15 Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/z/z/-original-imahgfdfhgfddc5j.jpeg?q=70,80990.0,4.2,7,1,12,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
38,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,103,15,14,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
39,DELL 15 (Previously Inspiron) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) DC1525...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/e/-original-imahzv9hvn3wejvk.jpeg?q=70,62990.0,4.3,799,76,36,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.1 cm (15 Inch) Display
40,"ASUS Vivobook S14 (2025) with Backlit Keyboard, Metallic Design*, Intel Core Ultra 7 255H - (16 GB/512...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/3/v/-original-imahgfdfpxhybpgk.jpeg?q=70,88990.0,4.2,29,7,31,Intel Core Ultra 7 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
41,DELL 15 (Previously Inspiron) (2026) AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/m/6/-original-imahgx8wgghyqtfs.jpeg?q=70,63490.0,4.3,19735,2048,29,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,38.1 cm (15 Inch) Display
42,ASUS TUF Gaming A15 (2025) AMD Ryzen 7 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/t/y/-enriched-transparent-original-imahgfdfmfhfsqy8.png?q=70,73990.0,4.4,7,1,12,AMD Ryzen 7 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
43,HP Omnibook 5 2K OLED Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Omnibook 5 14-he0014QU Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/3/z/-original-imahzv5mayfteu94.jpeg?q=70,84990.0,4.5,26,1,42,Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display
44,ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/n/3/cx1500cka-ej0275-chromebook-asus-enriched-transparent-original-imah2mw8nykenzdx.png?q=70,23990.0,3.8,114,10,6,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,64 bit Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
